form,tags
abrasadores,"['masculine', 'plural']"
abrasante,
abrasantes,"['feminine', 'masculine', 'plural']"
abrasiva,['feminine']
abrasivas,"['feminine', 'plural']"
abrasivo,
abrasivos,"['masculine', 'plural']"
abrazable,
abrazables,"['feminine', 'masculine', 'plural']"
abrazador,
abrazadora,['feminine']
abrazadoras,"['feminine', 'plural']"
abrazadores,"['masculine', 'plural']"
abreuense,
abreuenses,"['feminine', 'masculine', 'plural']"
abreviada,['feminine']
abreviadas,"['feminine', 'plural']"
abreviado,
abreviador,
abreviadora,['feminine']
abreviadoras,"['feminine', 'plural']"
abreviadores,"['masculine', 'plural']"
abreviados,"['masculine', 'plural']"
abreviativa,['feminine']
abreviativas,"['feminine', 'plural']"
abreviativo,
abreviativos,"['masculine', 'plural']"
abridor,
abridora,['feminine']
abridoras,"['feminine', 'plural']"
abridores,"['masculine', 'plural']"
abrigada,['feminine']
abrigadas,"['feminine', 'plural']"
abrigado,
abrigador,
abrigadora,['feminine']
abrigadoras,"['feminine', 'plural']"
abrigadores,"['masculine', 'plural']"
abrigados,"['masculine', 'plural']"
abrileña,['feminine']
abrileñas,"['feminine', 'plural']"
abrileño,
abrileños,"['masculine', 'plural']"
abrodita,
abroditas,"['feminine', 'masculine', 'plural']"
abrogable,
abrogables,"['feminine', 'masculine', 'plural']"
abrogatoria,['feminine']
abrogatorias,"['feminine', 'plural']"
abrogatorio,
abrogatorios,"['masculine', 'plural']"
abrucesa,['feminine']
abrucesas,"['feminine', 'plural']"
abruceses,"['masculine', 'plural']"
abrucés,
abrumador,
abrumadora,['feminine']
abrumadoras,"['feminine', 'plural']"
abrumadores,"['masculine', 'plural']"
abrupta,['feminine']
abruptas,"['feminine', 'plural']"
abrupto,
abruptos,"['masculine', 'plural']"
abscedada,['feminine']
abscedadas,"['feminine', 'plural']"
abscedado,
abscedados,"['masculine', 'plural']"
absente,['alternative']
absidal,
absidales,"['feminine', 'masculine', 'plural']"
absidial,
absidiales,"['feminine', 'masculine', 'plural']"
absoluta,['feminine']
absolutas,"['feminine', 'plural']"
absolutista,
absolutistas,"['feminine', 'masculine', 'plural']"
absolutiva,['feminine']
absolutivas,"['feminine', 'plural']"
absolutivo,
absolutivos,"['masculine', 'plural']"
absoluto,
absolutoria,['feminine']
absolutorias,"['feminine', 'plural']"
absolutorio,
absolutorios,"['masculine', 'plural']"
absolutos,"['masculine', 'plural']"
absorbente,
absorbentes,"['feminine', 'masculine', 'plural']"
absorbible,
absorbibles,"['feminine', 'masculine', 'plural']"
absorta,['feminine']
absortas,"['feminine', 'plural']"
absorto,
absortos,"['masculine', 'plural']"
abstemia,['feminine']
abstemias,"['feminine', 'plural']"
abstemio,
abstemios,"['masculine', 'plural']"
abstentiva,['feminine']
abstentivas,"['feminine', 'plural']"
abstentivo,
abstentivos,"['masculine', 'plural']"
abstersiva,['feminine']
abstersivas,"['feminine', 'plural']"
abstersivo,
abstersivos,"['masculine', 'plural']"
abstinente,
abstinentes,"['feminine', 'masculine', 'plural']"
abstracta,['feminine']
abstractas,"['feminine', 'plural']"
abstractiva,['feminine']
abstractivas,"['feminine', 'plural']"
abstractivo,
abstractivos,"['masculine', 'plural']"
abstracto,
abstractos,"['masculine', 'plural']"
abstraída,['feminine']
abstraídas,"['feminine', 'plural']"
abstraído,
abstraídos,"['masculine', 'plural']"
abstrusa,['feminine']
abstrusas,"['feminine', 'plural']"
abstruso,
abstrusos,"['masculine', 'plural']"
absurda,['feminine']
absurdas,"['feminine', 'plural']"
absurdo,
absurdos,"['masculine', 'plural']"
abuelística,['feminine']
abuelísticas,"['feminine', 'plural']"
abuelístico,
abuelísticos,"['masculine', 'plural']"
abuhardillada,['feminine']
abuhardilladas,"['feminine', 'plural']"
abuhardillado,
abuhardillados,"['masculine', 'plural']"
abulense,
abulenses,"['feminine', 'masculine', 'plural']"
abultada,['feminine']
abultadas,"['feminine', 'plural']"
abultado,
abultados,"['masculine', 'plural']"
abultadísima,['feminine']
abultadísimas,"['feminine', 'plural']"
abultadísimo,
abultadísimos,"['masculine', 'plural']"
abundada,['feminine']
abundadas,"['feminine', 'plural']"
abundado,
abundados,"['masculine', 'plural']"
abundancial,
abundanciales,"['feminine', 'masculine', 'plural']"
abundante,
abundantes,"['feminine', 'masculine', 'plural']"
abundantísima,['feminine']
abundantísimas,"['feminine', 'plural']"
abundantísimo,['superlative']
abundantísimos,"['masculine', 'plural']"
abundosa,['feminine']
abundosas,"['feminine', 'plural']"
abundoso,
abundosos,"['masculine', 'plural']"
aburrida,['feminine']
aburridas,"['feminine', 'plural']"
aburrido,
aburridos,"['masculine', 'plural']"
aburridísima,['feminine']
aburridísimas,"['feminine', 'plural']"
aburridísimo,['superlative']
aburridísimos,"['masculine', 'plural']"
abusada,['feminine']
abusadas,"['feminine', 'plural']"
abusado,
abusados,"['masculine', 'plural']"
abusiva,['feminine']
abusivas,"['feminine', 'plural']"
abusivo,
abusivos,"['masculine', 'plural']"
abusona,['feminine']
abusonas,"['feminine', 'plural']"
abusones,"['masculine', 'plural']"
abusón,
abyecta,['feminine']
abyectas,"['feminine', 'plural']"
abyecto,
abyectos,"['masculine', 'plural']"
abásida,['alternative']
abásidas,"['feminine', 'masculine', 'plural']"
abúlica,['feminine']
abúlicas,"['feminine', 'plural']"
abúlico,
abúlicos,"['masculine', 'plural']"
acabada,['feminine']
acabadas,"['feminine', 'plural']"
acabadita,['feminine']
acabaditas,"['feminine', 'plural']"
acabadito,
acabaditos,"['masculine', 'plural']"
acabado,
acabados,"['masculine', 'plural']"
academicista,
academicistas,"['feminine', 'masculine', 'plural']"
acadia,['feminine']
acadiana,['feminine']
acadianas,"['feminine', 'plural']"
acadiano,
acadianos,"['masculine', 'plural']"
acadias,"['feminine', 'plural']"
acadio,
acadios,"['masculine', 'plural']"
académica,['feminine']
académicas,"['feminine', 'plural']"
académico,
académicos,"['masculine', 'plural']"
acalenturada,['feminine']
acalenturadas,"['feminine', 'plural']"
acalenturado,
acalenturados,"['masculine', 'plural']"
acalicina,['feminine']
acalicinas,"['feminine', 'plural']"
acalicino,
acalicinos,"['masculine', 'plural']"
acalorada,['feminine']
acaloradas,"['feminine', 'plural']"
acalorado,
acalorados,"['masculine', 'plural']"
acambarense,
acambarenses,"['feminine', 'masculine', 'plural']"
acamellada,['feminine']
acamelladas,"['feminine', 'plural']"
acamellado,
acamellados,"['masculine', 'plural']"
acampanada,['feminine']
acampanadas,"['feminine', 'plural']"
acampanado,
acampanados,"['masculine', 'plural']"
acanelada,['feminine']
acaneladas,"['feminine', 'plural']"
acanelado,
acanelados,"['masculine', 'plural']"
acangrejada,['feminine']
acangrejadas,"['feminine', 'plural']"
acangrejado,
acangrejados,"['masculine', 'plural']"
acantilada,['feminine']
acantiladas,"['feminine', 'plural']"
acantilado,
acantilados,"['masculine', 'plural']"
acantinflada,['feminine']
acantinfladas,"['feminine', 'plural']"
acantinflado,
acantinflados,"['masculine', 'plural']"
acantopterigia,['feminine']
