form,tags
abstractives,"['feminine', 'plural']"
abstrait,
abstraite,['feminine']
abstraites,"['feminine', 'plural']"
abstraits,"['masculine', 'plural']"
abstrus,"['masculine', 'plural']"
abstruse,['feminine']
abstruses,"['feminine', 'plural']"
abstème,
abstèmes,['plural']
absurde,
absurdes,['plural']
abusif,
abusifs,"['masculine', 'plural']"
abusive,['feminine']
abusives,"['feminine', 'plural']"
abutyrotomofilogène,
abutyrotomofilogènes,['plural']
abyssal,
abyssale,['feminine']
abyssales,"['feminine', 'plural']"
abyssaux,"['masculine', 'plural']"
abyssin,
abyssine,['feminine']
abyssines,"['feminine', 'plural']"
abyssinien,
abyssinienne,['feminine']
abyssiniennes,"['feminine', 'plural']"
abyssiniens,"['masculine', 'plural']"
abyssins,"['masculine', 'plural']"
abyssopélagique,
abyssopélagiques,['plural']
abâtardi,
abâtardie,['feminine']
abâtardies,"['feminine', 'plural']"
abâtardis,"['masculine', 'plural']"
abécédaire,
abécédaires,['plural']
abélien,
abélienne,['feminine']
abéliennes,"['feminine', 'plural']"
abéliens,"['masculine', 'plural']"
abénaquis,"['masculine', 'plural']"
abénaquise,['feminine']
abénaquises,"['feminine', 'plural']"
abêtissant,
abêtissante,['feminine']
abêtissantes,"['feminine', 'plural']"
abêtissants,"['masculine', 'plural']"
acadien,
acadienne,['feminine']
acadiennes,"['feminine', 'plural']"
acadiens,"['masculine', 'plural']"
académique,
académiques,['plural']
académisable,
académisables,['plural']
acafalé,
acafalée,['feminine']
acafalées,"['feminine', 'plural']"
acafalés,"['masculine', 'plural']"
acalifourchonné,
acalifourchonnée,['feminine']
acalifourchonnées,"['feminine', 'plural']"
acalifourchonnés,"['masculine', 'plural']"
acalorique,
acaloriques,['plural']
acanthocarpe,
acanthocarpes,['plural']
acanthopode,
acanthopodes,['plural']
acanthé,
acanthée,['feminine']
acanthées,"['feminine', 'plural']"
acanthés,"['masculine', 'plural']"
acantoïde,
acantoïdes,['plural']
acapsulé,
acapsulée,['feminine']
acapsulées,"['feminine', 'plural']"
acapsulés,"['masculine', 'plural']"
acardiaque,
acardiaques,['plural']
acariâtre,
acariâtres,['plural']
acarologique,
acarologiques,['plural']
acarpe,
acarpes,['plural']
acatalecte,
acatalectes,['plural']
acatalectique,
acatalectiques,['plural']
acataleptique,
acataleptiques,['plural']
acathisique,
acathisiques,['plural']
acatholique,
acatholiques,['plural']
acathésique,
acathésiques,['plural']
acatène,
acatènes,['plural']
acaule,
acaules,['plural']
acausal,
acausale,['feminine']
acausales,"['feminine', 'plural']"
acausaux,"['masculine', 'plural']"
accablant,
accablante,['feminine']
accablantes,"['feminine', 'plural']"
accablants,"['masculine', 'plural']"
accablé,
accablée,['feminine']
accablées,"['feminine', 'plural']"
accablés,"['masculine', 'plural']"
accadien,
accadienne,['feminine']
accadiennes,"['feminine', 'plural']"
accadiens,"['masculine', 'plural']"
accalminé,
accalminée,['feminine']
accalminées,"['feminine', 'plural']"
accalminés,"['masculine', 'plural']"
accentuel,
accentuelle,['feminine']
accentuelles,"['feminine', 'plural']"
accentuels,"['masculine', 'plural']"
accentué,
accentuée,['feminine']
accentuées,"['feminine', 'plural']"
accentués,"['masculine', 'plural']"
acceptable,
acceptables,['plural']
acceptant,
acceptante,['feminine']
acceptantes,"['feminine', 'plural']"
acceptants,"['masculine', 'plural']"
acceptatif,
acceptatifs,"['masculine', 'plural']"
acceptative,['feminine']
acceptatives,"['feminine', 'plural']"
accessible,
accessibles,['plural']
accessoire,
accessoires,['plural']
accessoirisé,
accessoirisée,['feminine']
accessoirisées,"['feminine', 'plural']"
accessoirisés,"['masculine', 'plural']"
accidentable,
accidentables,['plural']
accidentel,
accidentelle,['feminine']
accidentelles,"['feminine', 'plural']"
accidentels,"['masculine', 'plural']"
accidentogène,
accidentogènes,['plural']
accidenté,
accidentée,['feminine']
accidentées,"['feminine', 'plural']"
accidentés,"['masculine', 'plural']"
accipitrin,
accipitrine,['feminine']
accipitrines,"['feminine', 'plural']"
accipitrins,"['masculine', 'plural']"
accisien,
accisienne,['feminine']
accisiennes,"['feminine', 'plural']"
accisiens,"['masculine', 'plural']"
acclamatif,
acclamatifs,"['masculine', 'plural']"
acclamative,['feminine']
acclamatives,"['feminine', 'plural']"
acclimatable,
acclimatables,['plural']
acclimaté,
acclimatée,['feminine']
acclimatées,"['feminine', 'plural']"
acclimatés,"['masculine', 'plural']"
accolé,
accolée,['feminine']
accolées,"['feminine', 'plural']"
accolés,"['masculine', 'plural']"
accombant,
accombante,['feminine']
accombantes,"['feminine', 'plural']"
accombants,"['masculine', 'plural']"
accommodant,
accommodante,['feminine']
accommodantes,"['feminine', 'plural']"
accommodants,"['masculine', 'plural']"
accommodateur,
accommodateurs,"['masculine', 'plural']"
accommodatrice,['feminine']
accommodatrices,"['feminine', 'plural']"
accompli,
accomplie,['feminine']
accomplies,"['feminine', 'plural']"
accomplis,"['masculine', 'plural']"
accordable,
accordables,['plural']
accordé,
accordée,['feminine']
accordées,"['feminine', 'plural']"
accordéonesque,
accordéonesques,['plural']
accordés,"['masculine', 'plural']"
accore,
accores,['plural']
accorné,
accornée,['feminine']
accornées,"['feminine', 'plural']"
accornés,"['masculine', 'plural']"
accort,
accorte,['feminine']
accortes,"['feminine', 'plural']"
accorts,"['masculine', 'plural']"
accostable,
accostables,['plural']
accouplable,
accouplables,['plural']
accoutré,
accoutrée,['feminine']
accoutrées,"['feminine', 'plural']"
accoutrés,"['masculine', 'plural']"
accoutumé,
accoutumée,['feminine']
accoutumées,"['feminine', 'plural']"
accoutumés,"['masculine', 'plural']"
accrescent,
accrescente,['feminine']
accrescentes,"['feminine', 'plural']"
accrescents,"['masculine', 'plural']"
accro,
accrocheur,
accrocheurs,"['masculine', 'plural']"
accrocheuse,['feminine']
accrocheuses,"['feminine', 'plural']"
accroissable,
accroissables,['plural']
accroissant,
accroissante,['feminine']
accroissantes,"['feminine', 'plural']"
accroissants,"['masculine', 'plural']"
accros,['plural']
accréditeur,
accréditeurs,"['masculine', 'plural']"
accréditrice,['feminine']
accréditrices,"['feminine', 'plural']"
accrédité,
accréditée,['feminine']
accréditées,"['feminine', 'plural']"
accrédités,"['masculine', 'plural']"
accrémentitiel,
accrémentitielle,['feminine']
accrémentitielles,"['feminine', 'plural']"
accrémentitiels,"['masculine', 'plural']"
accrétionnaire,
accrétionnaires,['plural']
accueillable,
accueillables,['plural']
accueillant,
accueillante,['feminine']
accueillantes,"['feminine', 'plural']"
accueillants,"['masculine', 'plural']"
acculé,
acculée,['feminine']
acculées,"['feminine', 'plural']"
acculés,"['masculine', 'plural']"
accumulé,
accumulée,['feminine']
accumulées,"['feminine', 'plural']"
accumulés,"['masculine', 'plural']"
accusable,
accusables,['plural']
accusataire,
accusataires,['plural']
accusateur,
accusateurs,"['masculine', 'plural']"
accusatifs,
accusative,
accusatives,
accusatoire,
accusatoires,['plural']
accusatrice,['feminine']
accusatrices,"['feminine', 'plural']"
accélérateur,
accélérateurs,"['masculine', 'plural']"
accélératrice,['feminine']
accélératrices,"['feminine', 'plural']"
acellulaire,
acellulaires,['plural']
acentré,
acentrée,['feminine']
acentrées,"['feminine', 'plural']"
acentrés,"['masculine', 'plural']"
acerbe,
acerbes,['plural']
acescent,
acescente,['feminine']
acescentes,"['feminine', 'plural']"
acescents,"['masculine', 'plural']"
achalandé,
achalandée,['feminine']
achalandées,"['feminine', 'plural']"
achalandés,"['masculine', 'plural']"
acharné,
acharnée,['feminine']
acharnées,"['feminine', 'plural']"
acharnés,"['masculine', 'plural']"
acheiropoïète,
acheiropoïètes,['plural']
achetable,
achetables,['plural']
acheuléen,
acheuléenne,['feminine']
acheuléennes,"['feminine', 'plural']"
acheuléens,"['masculine', 'plural']"
achilletalonesque,['alternative']
achilletalonesques,['plural']
achilletalonnesque,['alternative']
achilletalonnesques,['plural']
achiléen,
achiléenne,['feminine']
achiléennes,"['feminine', 'plural']"
achiléens,"['masculine', 'plural']"
achkenaze,
achkenazes,['plural']
achkénaze,
achkénazes,['plural']
acholi,
acholie,['feminine']
acholies,"['feminine', 'plural']"
acholis,"['masculine', 'plural']"
achondroplasique,
achondroplasiques,['plural']
achromatique,
achromatiques,['plural']
achromatope,
achromatopes,['plural']
achromatopsique,
achromatopsiques,['plural']
achrome,
achromes,['plural']
achromique,
achromiques,['plural']
achronique,
achroniques,['plural']
achéen,
achéenne,['feminine']
achéennes,"['feminine', 'plural']"
achéens,"['masculine', 'plural']"
achéménide,
achéménides,['plural']
aciculaire,
aciculaires,['plural']
aciculifolié,
aciculifoliée,['feminine']
aciculifoliées,"['feminine', 'plural']"
aciculifoliés,"['masculine', 'plural']"
aciculiforme,
aciculiformes,['plural']
aciculé,
aciculée,['feminine']
aciculées,"['feminine', 'plural']"
aciculés,"['masculine', 'plural']"
acide,
acides,['plural']
acidifiable,
acidifiables,['plural']
acidifié,
acidifiée,['feminine']
acidifiées,"['feminine', 'plural']"
acidifiés,"['masculine', 'plural']"
acidifère,
acidifères,['plural']
acidique,
acidiques,['plural']
acido-basique,
acido-basiques,['plural']
acidobasique,
acidobasiques,['plural']
acidogène,
acidogènes,['plural']
acidophile,
acidophiles,['plural']
acidulé,
acidulée,['feminine']
acidulées,"['feminine', 'plural']"
acidulés,"['masculine', 'plural']"
acinaciforme,
acinaciformes,['plural']
acineuse,['feminine']
acineuses,"['feminine', 'plural']"
acineux,"['masculine', 'plural']"
acinétique,
acinétiques,['plural']
acircuitique,
acircuitiques,['plural']
aciéreuse,['feminine']
aciéreuses,"['feminine', 'plural']"
aciéreux,"['masculine', 'plural']"
aclaste,
aclastes,['plural']
aclinal,
aclinale,['feminine']
aclinales,"['feminine', 'plural']"
aclinaux,"['masculine', 'plural']"
aclinique,
acliniques,['plural']
acméiste,
acméistes,['plural']
acnescent,
acnescente,['feminine']
acnescentes,"['feminine', 'plural']"
acnescents,"['masculine', 'plural']"
acnodal,
acnodale,['feminine']
acnodales,"['feminine', 'plural']"
acnodaux,"['masculine', 'plural']"
acnéique,
acnéiques,['plural']
acolé,
acolée,['feminine']
acolées,"['feminine', 'plural']"
acolés,"['masculine', 'plural']"
acommercial,
acommerciale,['feminine']
acommerciales,"['feminine', 'plural']"
acommerciaux,"['masculine', 'plural']"
acosmique,
acosmiques,['plural']
acotylédone,
acotylédones,['plural']
acotylédoné,
acotylédonée,['feminine']
acotylédonées,"['feminine', 'plural']"
acotylédonés,"['masculine', 'plural']"
acouphénique,
acouphéniques,['plural']
acousmate,
acousmates,['plural']
acousmatique,
acousmatiques,['plural']
acoustique,
acoustiques,['plural']
acquis,"['masculine', 'plural']"
acquise,['feminine']
acquises,"['feminine', 'plural']"
acquisitif,
acquisitifs,"['masculine', 'plural']"
acquisitive,['feminine']
acquisitives,"['feminine', 'plural']"
acquittable,
acquittables,['plural']
acquitté,
acquittée,['feminine']
acquittées,"['feminine', 'plural']"
acquittés,"['masculine', 'plural']"
acquérable,
acquérables,['plural']
acratopège,
acratopèges,['plural']
acribique,
acribiques,['plural']
acridien,
acridienne,['feminine']
acridiennes,"['feminine', 'plural']"
acridiens,"['masculine', 'plural']"
acridophage,
acridophages,['plural']
acrimonial,
acrimoniale,['feminine']
acrimoniales,"['feminine', 'plural']"
acrimoniaux,"['masculine', 'plural']"
acrimonieuse,['feminine']
acrimonieuses,"['feminine', 'plural']"
acrimonieux,"['masculine', 'plural']"
acritique,
acritiques,['plural']
acroamatique,
acroamatiques,['plural']
acroatique,
acroatiques,['plural']
acrobatique,
acrobatiques,['plural']
acrocentrique,
acrocentriques,['plural']
acrocéphale,
acrocéphales,['plural']
acrocéphalique,
acrocéphaliques,['plural']
acrogène,
acrogènes,['plural']
acrolithe,
acrolithes,['plural']
acrologique,
acrologiques,['plural']
acroléïque,
acroléïques,['plural']
acromial,
acromiale,['feminine']
acromiales,"['feminine', 'plural']"
acromiaux,"['masculine', 'plural']"
acromien,
acromienne,['feminine']
acromiennes,"['feminine', 'plural']"
acromiens,"['masculine', 'plural']"
acromégale,
acromégales,['plural']
acromégalique,
acromégaliques,['plural']
acromélique,
acroméliques,['plural']
acronymique,
acronymiques,['plural']
acrophile,
acrophiles,['plural']
acropète,
acropètes,['plural']
acrylique,
acryliques,['plural']
actanciel,['alternative']
actantiel,
actantielle,['feminine']
actantielles,"['feminine', 'plural']"
actantiels,"['masculine', 'plural']"
actif,
actifs,"['masculine', 'plural']"
actiniforme,
actiniformes,['plural']
actinimorphe,
actinimorphes,['plural']
actinique,
actiniques,['plural']
actinomorphe,
actinomorphes,['plural']
actinométrique,
actinométriques,['plural']
actinorhizien,
actinorhizienne,['feminine']
actinorhiziennes,"['feminine', 'plural']"
actinorhiziens,"['masculine', 'plural']"
actionnable,
actionnables,['plural']
actionnaliste,
actionnalistes,['plural']
actionnarial,
actionnariale,['feminine']
actionnariales,"['feminine', 'plural']"
actionnariaux,"['masculine', 'plural']"
actionnel,
actionnelle,['feminine']
actionnelles,"['feminine', 'plural']"
actionnels,"['masculine', 'plural']"
activable,
activables,['plural']
active,['feminine']
actives,"['feminine', 'plural']"
actualisable,
actualisables,['plural']
actuariel,
actuarielle,['feminine']
actuarielles,"['feminine', 'plural']"
actuariels,"['masculine', 'plural']"
actuel,
actuelle,['feminine']
actuelles,"['feminine', 'plural']"
actuels,"['masculine', 'plural']"
aculéiforme,
aculéiformes,['plural']
acuminé,
acuminée,['feminine']
acuminées,"['feminine', 'plural']"
acuminés,"['masculine', 'plural']"
acut,
acutangle,
acutangles,['plural']
acutangulaire,
acutangulaires,['plural']
acutangules,
acutangulé,
acutangulée,['feminine']
acutangulées,"['feminine', 'plural']"
acutangulés,"['masculine', 'plural']"
acute,['feminine']
acutes,"['feminine', 'plural']"
acuts,"['masculine', 'plural']"
acyanophile,
acyanophiles,['plural']
acyclique,
acycliques,['plural']
acère,
acères,['plural']
acélomate,['alternative']
acémète,
acémètes,['plural']
acéphale,
acéphales,['plural']
acéphalobrache,
acéphalobraches,['plural']
acéphalopode,
acéphalopodes,['plural']
acéphalothore,
acéphalothores,['plural']
acéracé,
acéracée,['feminine']
acéracées,"['feminine', 'plural']"
acéracés,"['masculine', 'plural']"
acérain,
acéraine,['feminine']
acéraines,"['feminine', 'plural']"
acérains,"['masculine', 'plural']"
acéricole,
acéricoles,['plural']
acéré,
acérée,['feminine']
acérées,"['feminine', 'plural']"
acérés,"['masculine', 'plural']"
acétabuleuse,['feminine']
acétabuleuses,"['feminine', 'plural']"
acétabuleux,"['masculine', 'plural']"
acétabuliforme,
acétabuliformes,['plural']
acétabulé,
acétabulée,['feminine']
acétabulées,"['feminine', 'plural']"
acétabulés,"['masculine', 'plural']"
acéteuse,['feminine']
